Bid, Ask, Last
0.04524,0.04524497,0.04524497
0.04524,0.04524399,0.04524399
0.04515,0.04524,0.04524
0.04524398,0.04524399,0.04524398
0.045244,0.04524497,0.04524497
0.04524499,0.04526999,0.04524499
0.04524398,0.04524399,0.04524398
0.04517001,0.04524399,0.04517001
0.04524499,0.045256,0.0453
0.04524399,0.045256,0.04524399
0.04524399,0.045256,0.04524399
0.04524399,0.04538625,0.04538625
0.045448,0.0454494,0.045448
0.04524399,0.04545001,0.04524399
0.04519,0.0454494,0.04519
0.0452,0.0454494,0.0454494
0.04518001,0.04544499,0.04518001
0.04529295,0.04544499,0.04544499
0.04521605,0.04544491,0.04521604
0.04521604,0.0452166,0.04521604
0.04535677,0.04544491,0.04535677
0.04544491,0.04544499,0.04544491
0.04544494,0.0454494,0.04544499
0.04544491,0.04544939,0.04544939
0.04544492,0.04544939,0.04544492
0.04545,0.04545022,0.04545
0.04545022,0.0455,0.04545022
0.04544939,0.04545022,0.04545022
0.04544939,0.0455,0.0454494
0.0454494,0.04549997,0.0455
0.0455,0.04552002,0.0455
0.04552002,0.04552164,0.04552002
0.0455245,0.0455381,0.0455381
0.04555203,0.04555611,0.04555611
0.04555203,0.0455522,0.0455522
0.045651,0.045665,0.045651
0.04566821,0.0456688,0.04566821
0.04566825,0.04571996,0.04566825
0.04572,0.04575011,0.04572
0.04571996,0.04576576,0.04571996
0.04571996,0.04576592,0.04571996
0.04576658,0.0458,0.04576658
0.04585148,0.0458517,0.04585148
0.0458515,0.0458598,0.0458515
0.04585148,0.0459,0.04585148
0.04585149,0.04593699,0.0458
0.04589759,0.04595515,0.04589759
0.04580003,0.04598999,0.04580003
0.04595,0.04596294,0.04595
0.04580011,0.04590239,0.04580011
0.046,0.04600499,0.046
0.04600499,0.04600885,0.04600499
0.0458001,0.04580011,0.04580011
0.04580011,0.04600497,0.04600497
0.04580012,0.04600497,0.04600497
0.04599999,0.04600497,0.04599999
0.046,0.04600499,0.046
0.0458047,0.0459,0.0458047
0.04595648,0.046,0.046
0.04595648,0.0459605,0.0459605
0.0459605,0.04599999,0.0459605
0.0459605,0.046,0.0459605
0.0459605,0.046,0.0459605
0.04585434,0.04608999,0.04608999
0.04604603,0.04607499,0.04604603
0.04594485,0.04604602,0.04604602
0.0459,0.0459889,0.0459
0.04599999,0.046,0.0459
0.04580008,0.04599,0.04599
0.04580006,0.04580008,0.04580006
0.04580003,0.04580006,0.04580006
0.04580001,0.04580006,0.04580001
0.0458,0.04598986,0.0458
0.04559319,0.04573799,0.04559319
0.0455932,0.04562817,0.04562817
0.04559326,0.04571512,0.04559326
0.04561001,0.04594982,0.04561001
0.04561001,0.04596059,0.04596059
0.04561,0.04596059,0.04561
0.045602,0.0457,0.0457
0.04561003,0.04598498,0.04598498
0.04563,0.04598496,0.04598496
0.0459325,0.04595877,0.0459325
0.04557205,0.0459325,0.0459325
0.04584087,0.045923,0.0456
0.045923,0.04593235,0.045923
0.04562511,0.045917,0.045917
0.04564087,0.045912,0.045912
0.04564089,0.04574976,0.045912
0.0456409,0.04591,0.04591
0.04564089,0.0456409,0.0456409
0.0456409,0.04589999,0.0456409
0.04580003,0.0459,0.04580003
0.04580003,0.045912,0.045912
0.04590003,0.04591199,0.04590003
0.045912,0.04600358,0.04590003
0.04600358,0.04600359,0.04600358
0.045912,0.04600359,0.045912
0.045912,0.04600359,0.04600359
0.04591658,0.04604604,0.04604604
0.04596254,0.04608692,0.04596254
0.04591658,0.046,0.04591658
0.04580004,0.046,0.04580003
0.04580004,0.04594651,0.04580004
0.046,0.04604604,0.046
0.04594651,0.04599998,0.04599998
0.04580024,0.04604603,0.04604603
0.04594651,0.04594652,0.04594651
0.046,0.04604604,0.046
0.046,0.04605184,0.046
0.046,0.04605184,0.046
0.04594691,0.04599998,0.04599998
0.04594689,0.04599997,0.04599997
0.04594689,0.04599996,0.04599997
0.04599997,0.04599999,0.04599997
0.04599997,0.046,0.04599997
0.046,0.04605183,0.046
0.0460518,0.04605183,0.046
0.04605184,0.04609016,0.04608693
0.04609016,0.04609896,0.04609534
0.04609016,0.04609534,0.04609016
0.04609534,0.04609896,0.04609896
0.04609896,0.04615399,0.04619999
0.04609899,0.04615399,0.04609899
0.04619999,0.0462,0.04619999
0.0462099,0.04629039,0.0462099
0.0462099,0.0462608,0.0462099
0.046099,0.0461,0.046099
0.04615579,0.0462001,0.04615579
0.0462001,0.04624999,0.0462001
0.0462001,0.04624986,0.0462001
0.04624999,0.04628399,0.04624999
0.04625,0.04629998,0.04624999
0.04625987,0.04629994,0.04625987
0.04631019,0.04631247,0.04631019
0.04631019,0.04631579,0.04631019
0.04631021,0.04631579,0.04631021
0.04631579,0.04632,0.04631579
0.04632039,0.04632669,0.04632669
0.04631019,0.0463375,0.0463375
0.0463383,0.04633958,0.04633958
0.04633958,0.04634001,0.04633958
0.046351,0.04636,0.0463499
0.04633958,0.04634192,0.04634
0.0462001,0.04634191,0.04634191
0.04610001,0.04633957,0.04633957
0.04610001,0.04610002,0.04611771
0.04610002,0.04633497,0.04610002
0.04610011,0.04629999,0.04610003
0.04610015,0.04610021,0.04627683
0.04610022,0.0462768,0.04610022
0.04610021,0.04619999,0.04619999
0.04610015,0.04610021,0.04610021
0.04610014,0.04610021,0.04610021
0.04610015,0.04618997,0.04618997
0.0461898,0.04618997,0.04610021
0.04610024,0.04618969,0.04610024
0.04610021,0.04610024,0.04610024
0.04610021,0.04610024,0.04610024
0.04610021,0.04610024,0.04610021
0.0461,0.04610016,0.04610016
0.04610021,0.04610024,0.04610021
0.04610024,0.04618997,0.04618997
0.0462,0.04621525,0.0462
0.04610024,0.04618,0.04618
0.0461,0.046201,0.046201
0.04612,0.046201,0.046201
0.0461,0.04611,0.04611
0.04611001,0.04621324,0.04611001
0.04611001,0.04621323,0.04611001
0.0461101,0.04621323,0.04621323
0.04611001,0.04621,0.04621
0.04611001,0.0462,0.0462
0.04611001,0.0461101,0.04621324
0.0461101,0.04621323,0.0461101
0.0461,0.04611001,0.04611001
0.04605703,0.04611001,0.04611001
0.04605147,0.0460518,0.0460518
0.04601272,0.046055,0.04601272
0.04599608,0.046,0.046
0.04599608,0.046,0.04599608
0.0460518,0.04605702,0.0460518
0.046,0.04605702,0.046
0.046,0.04605702,0.046
0.046,0.04605702,0.04605702
0.04600001,0.04605702,0.04600001
0.04600001,0.04605599,0.04600001
0.04600002,0.04605599,0.04600001
0.04600002,0.046055,0.04600002
0.04600002,0.04605599,0.04605599
0.046056,0.04605703,0.04605703
0.04605703,0.04610183,0.04605703
0.04610183,0.0462,0.0462
0.04613,0.0462,0.0462
0.04613001,0.04619899,0.04613
0.046102,0.04613001,0.046102
0.04611006,0.04619899,0.04611006
0.04625599,0.04627673,0.04627673
0.04629989,0.0462999,0.0462999
0.0462999,0.04634192,0.04634192
0.04629991,0.0463417,0.04634192
0.0462999,0.04629991,0.0462999
0.04629989,0.0462999,0.0463419
0.04629989,0.0462999,0.04629989
0.0462999,0.046323,0.046323
0.04633192,0.0463419,0.046341
0.04633193,0.046341,0.0463419
0.04633198,0.04634192,0.04633193
0.046342,0.04634828,0.046342
0.04634828,0.04635,0.04635881
0.04636,0.04636193,0.04636
0.04636,0.04636193,0.04636
0.04636004,0.04636193,0.04636193
0.04634192,0.04635991,0.04634192
0.0462,0.04633198,0.0462
0.0462,0.04631443,0.0462
0.04613618,0.04617618,0.04617618
0.04617618,0.046332,0.04633699
0.04617618,0.04632699,0.04632699
0.04617618,0.0463,0.04617618
0.04617618,0.0463,0.04617618
0.04617618,0.0463,0.04617618
0.046102,0.04612116,0.046102
0.04610201,0.04617618,0.04610201
0.04611137,0.04617618,0.04617618
0.04611137,0.04617618,0.04617618
0.04617618,0.04629497,0.04617618
0.04611137,0.04617618,0.04617618
0.04611137,0.04617618,0.04611137
0.0462618,0.04628041,0.0462618
0.04622043,0.0462479,0.04617618
0.04617619,0.0462618,0.04617619
0.04620402,0.0462804,0.04620402
0.04617619,0.04628,0.04628
0.04617619,0.04628,0.04617619
0.0461762,0.04628,0.04617619
0.04628,0.0462804,0.0462
0.04628,0.04632999,0.04628
0.04628,0.0463,0.04628
0.04617001,0.04629999,0.04617001
0.04629999,0.0463,0.0463
0.04617005,0.04633,0.04617005
0.04617005,0.046205,0.046205
0.0461702,0.04633,0.0461702
0.046205,0.04632998,0.046205
0.0461702,0.046205,0.0461702
0.046205,0.04632998,0.046205
0.0461702,0.04631745,0.0461702
0.046205,0.04631745,0.04631745
0.04624018,0.04632998,0.04624018
0.04625,0.04632998,0.04625
0.04625,0.04632998,0.04632998
0.04632998,0.0463318,0.04632998
0.04632998,0.04633025,0.04633025
0.04632998,0.04636,0.04636
0.04636,0.04636191,0.04636
0.04632998,0.04636,0.04632998
0.04634039,0.04636,0.04634039
0.0463404,0.04636,0.0463404
0.04638386,0.04638493,0.04638386
0.04636,0.04638845,0.04638845
0.0464,0.0464002,0.0464
0.04636001,0.04639771,0.04636001
0.0464141,0.04642878,0.04642878
0.0464002,0.0464141,0.0464002
0.0464141,0.04641443,0.0464141
0.0464141,0.04645886,0.0464141
0.04641411,0.04646005,0.04641411
0.04647,0.04647189,0.04647
0.04622454,0.04646085,0.046186
0.0462,0.046205,0.04619303
0.04634039,0.04646086,0.04646086
0.04617021,0.04634039,0.04634039
0.0461702,0.04648249,0.04648249
0.04617021,0.04646599,0.04647624
0.04617021,0.04628506,0.04634038
0.04630001,0.04631718,0.04630001
0.04630002,0.04634038,0.04634038
0.04630222,0.0464449,0.0464449
0.04630222,0.04644486,0.04644486
0.0463,0.04630001,0.0463
0.0463,0.04639998,0.04639998
0.0463,0.04644498,0.04644498
0.0463005,0.04644498,0.0463005
0.0463,0.04644496,0.0463
0.04631,0.04644496,0.04644496
0.0463,0.04635,0.0463
0.0463001,0.04631,0.0463001
0.04631,0.04635,0.04635
0.04631001,0.04644497,0.04644497
0.04631001,0.04631882,0.04631001
0.04631001,0.04635,0.04635
0.04635,0.0464449,0.0464449
0.04644492,0.04644493,0.04644492
0.0464449,0.04644491,0.04644491
0.04647624,0.04648,0.04647624
0.04631001,0.04644485,0.04647423
0.04631001,0.04640685,0.04631001
0.0463201,0.04640685,0.04640685
0.04633,0.04640685,0.04633
0.04633,0.04644,0.04633
0.04633,0.04644,0.04644
0.04644,0.0464824,0.04648241
0.04633,0.04648244,0.04633
0.0464,0.04644001,0.0464
0.0464,0.04648246,0.0464
0.04633,0.04648246,0.04648246
0.0464,0.04648,0.0464
0.04635,0.04647999,0.04647999
0.04633,0.04645999,0.04635
0.04635,0.04645999,0.04645999
0.04646999,0.04647,0.04646999
0.04647,0.046478,0.04647
0.046478,0.04647938,0.046478
0.04648,0.04648247,0.04648
0.04648,0.0464826,0.04648
0.04649474,0.0465,0.04649474
0.0464902,0.0465035,0.0465035
0.04648,0.0465035,0.0464902
0.04649,0.0465035,0.04649
0.04648,0.04648001,0.04648
0.04649001,0.0465,0.04649001
0.0465,0.04652,0.0465
0.04649001,0.0465,0.0465
0.04649,0.04649001,0.04649
0.046407,0.04648,0.046407
0.04642,0.04648,0.04642
0.04648,0.04649101,0.04649101
0.04648,0.04649101,0.04648
0.04648,0.04649101,0.04652998
0.04652998,0.04653,0.04652998
0.04652998,0.04653,0.04653
0.04652998,0.04653,0.04653
0.04648,0.04652997,0.04648
0.04642001,0.04652997,0.04642001
0.04642001,0.04651999,0.0465299
0.04642002,0.04651998,0.04642002
0.0464479,0.04651997,0.04651997
0.0464479,0.04652989,0.04651997
0.04644791,0.04651997,0.04644791
0.04644791,0.04651997,0.04651997
0.04644791,0.04651996,0.04644791
0.04644791,0.046449,0.046449
0.046449,0.04651996,0.046449
0.046449,0.04651996,0.04647178
0.046449,0.04652791,0.046449
0.04644791,0.0465279,0.04644791
0.04645,0.04652791,0.0465279
0.04645,0.04646888,0.04645
0.04645,0.0465279,0.04645
0.04645,0.0465279,0.0465279
0.0465279,0.04652791,0.04652791
0.04644791,0.0465279,0.04644791
0.04645,0.04652788,0.04645
0.0465279,0.04653,0.0465279
0.04645001,0.0465384,0.04645001
0.04653003,0.04653841,0.04653003
0.04654,0.04654001,0.04654
0.04654,0.04654585,0.04654
0.04654001,0.04654585,0.04654001
0.04654,0.04654001,0.04654
0.04654,0.04657492,0.04654
0.04647697,0.04650401,0.04647697
0.04647697,0.04650401,0.04647697
0.04647697,0.04654,0.04647697
0.04647697,0.04655,0.04655
0.04647699,0.04657485,0.04647699
0.04647699,0.0465748,0.04647699
0.04649,0.04657479,0.04649
0.04649,0.04657398,0.04657398
0.04647699,0.0464794,0.04657395
0.04647699,0.04657397,0.04657397
0.04647699,0.04657394,0.04647699
0.04647699,0.04657393,0.04647699
0.04647699,0.04657387,0.04657387
0.0465,0.0465738,0.0465
0.0465,0.04657381,0.04657381
0.04642,0.04645,0.04642
0.04642,0.04644,0.04644
0.04642,0.04653505,0.04642
0.04642,0.04644,0.04644
0.04642,0.04643,0.04642
0.04642,0.04644,0.04644
0.04642,0.04642999,0.04642
0.04642,0.046429,0.04642
0.04642,0.04642999,0.04642999
0.04642,0.04642999,0.04642
0.04642,0.04642999,0.04642
0.04642,0.04642999,0.04642999
0.04642,0.04642999,0.04642999
0.04642,0.04642999,0.04642
0.04657776,0.04657777,0.04657775
0.04642,0.04657774,0.04657774
0.04642,0.04657622,0.04642
0.04657622,0.04657678,0.04642
0.04647773,0.04657622,0.04647773
0.04647773,0.04655,0.04647773
0.04647774,0.04655,0.04647774
0.04648317,0.04654997,0.04647774
0.04657773,0.04657776,0.04657776
0.04657776,0.04657777,0.04657776
0.04657776,0.04657777,0.04657776
0.04657999,0.04658074,0.04658053
0.04657777,0.046578,0.046578
0.046578,0.04658074,0.046578
0.046578,0.04658426,0.046578
0.04647774,0.0465,0.0465
0.04650001,0.04659399,0.04650001
0.04650001,0.04659399,0.04650001
0.04650002,0.04659399,0.04659399
0.04659399,0.04659409,0.04659399
0.04650003,0.0466,0.0466
0.0466002,0.04660622,0.04660622
0.04660982,0.04664743,0.04660982
0.04665579,0.04665947,0.04665579
0.04665579,0.0467,0.0467
0.04650001,0.04665579,0.046578
0.04670597,0.04670598,0.04670597
0.04647775,0.04670594,0.0465
0.04670593,0.04670595,0.04670593
0.04653,0.04671572,0.04671572
0.04653,0.046588,0.04653
0.04653,0.04658505,0.04653
0.04658505,0.046588,0.04658505
0.04653,0.04658505,0.04653
0.0466,0.04671473,0.0466
0.0466,0.04660422,0.0466
0.04651546,0.04656176,0.04651546
0.04651547,0.04656175,0.04651547
0.04651547,0.04656175,0.04656175
0.04656175,0.04656176,0.04656175
0.04651547,0.04651548,0.04651547
0.04651547,0.04651548,0.04651547
0.04651547,0.04651548,0.04651548
0.04651547,0.04656174,0.04651547
0.0465,0.04651547,0.0465
0.04635857,0.04646998,0.04646998
0.04635857,0.0463586,0.0463586
0.04635857,0.0463586,0.04635857
0.04635858,0.04646998,0.04646998
0.0463589,0.04646999,0.0463589
0.0463586,0.0463589,0.0463586
0.0463589,0.04646997,0.04647371
0.04635858,0.04646997,0.04635858
0.0463589,0.04646995,0.0463589
0.0463589,0.04646994,0.0463589
0.0463589,0.04638386,0.0463589
0.0463589,0.04644669,0.04644669
0.0463589,0.04635891,0.0463589
0.04635857,0.04635858,0.04635857
0.04635858,0.0463589,0.04635858
0.04635,0.04635858,0.04635858
0.04634052,0.04635857,0.04634052
0.04631001,0.0463585,0.04631001
0.04634052,0.0463585,0.0463585
0.0463585,0.0463589,0.0463585
0.04634052,0.04635889,0.04634052
0.04634052,0.04635888,0.04634052
0.04631002,0.04631239,0.04631002
0.04631001,0.04631239,0.04631001
0.04630737,0.04631001,0.04631001
0.046301,0.04631001,0.046301
0.0463001,0.04630101,0.04630101
0.0462936,0.0463,0.0463
0.04624098,0.04625,0.04625
0.0462039,0.04624098,0.04624098
0.04620053,0.04620054,0.04620054
0.04620054,0.0462039,0.04620054
0.04620054,0.0462028,0.04620054
0.04620054,0.0462028,0.0462028
0.04620053,0.04620054,0.04620054
0.04620054,0.0462028,0.04620054
0.0462,0.04620053,0.0462
0.04617,0.04620053,0.04620053
0.04617,0.04620053,0.04620053
0.04620053,0.04620054,0.04620053
0.04617,0.0462,0.04617
0.04617,0.04620053,0.04620053
0.04620053,0.0462395,0.0462395
0.04620054,0.0462395,0.04612078
0.0461208,0.04620054,0.04620054
0.04620054,0.0462395,0.04620054
0.04620054,0.0462395,0.0462395
0.04620055,0.0462395,0.04620055
0.0462395,0.04624,0.04624
0.04620056,0.04620057,0.04620056
0.04620055,0.04624,0.04624
0.04624098,0.04625,0.04624098
0.04624098,0.04625,0.04624098
0.04624098,0.04625,0.04625
0.04629629,0.0463,0.0462936
0.04634635,0.04635888,0.04634635
0.04634635,0.0464,0.0464
0.04634635,0.04639998,0.04639998
0.04634635,0.0464,0.04634635
0.04624098,0.04629629,0.04624098
0.04625,0.04629629,0.04629629
0.04624098,0.04629629,0.04629629
0.04620055,0.04624098,0.04620055
0.04615467,0.04629629,0.04629629
0.04615468,0.0464,0.0464
0.04615467,0.04615468,0.04615468
0.04615468,0.04629629,0.04615468
0.04615468,0.04639997,0.04615468
0.04617315,0.04639997,0.04639997
0.04617315,0.04639997,0.04639997
0.046155,0.04617315,0.04617315
0.046155,0.04619623,0.04619623
0.04615502,0.046395,0.046395
0.04621648,0.04639,0.04619623
0.04615504,0.0463151,0.046394
0.04615504,0.0463,0.04615504
0.04615504,0.04629627,0.04615504
0.04615503,0.04615504,0.04615504
0.04615502,0.04629628,0.04615502
0.04616,0.04617233,0.04617233
0.04615502,0.04616,0.04615502
0.04615503,0.04629626,0.04615503
0.046155,0.04615501,0.046155
0.04615501,0.046291,0.046291
0.04615511,0.04629099,0.04615511
0.04615511,0.04618,0.04615511
0.04615501,0.04615511,0.04615501
0.046,0.046152,0.04615501
0.046,0.046145,0.04615511
0.046,0.04614997,0.046
0.046,0.04609,0.046
0.04601327,0.04601442,0.04601327
0.04601327,0.04601442,0.04601442
0.04601327,0.04601442,0.04601442
0.04616,0.04618,0.04618
0.04618,0.04619989,0.04619989
0.04601327,0.04601442,0.04601327
0.04601327,0.04618497,0.04601327
0.04597096,0.046,0.046
0.04594651,0.04594689,0.04594689
0.04592003,0.0459465,0.0459465
0.0458982,0.0459,0.0459
0.04589379,0.0459,0.0459
0.0459,0.04594649,0.04594649
0.0459,0.04594649,0.04594649
0.04589056,0.04594649,0.04589058
0.04580001,0.04594648,0.04594649
0.04594648,0.04594649,0.04594649
0.04583506,0.04594649,0.04594649
0.04588584,0.04594649,0.04586573
0.04587825,0.04594639,0.04584
0.04582005,0.04584,0.04584
0.04584001,0.04594639,0.04584001
0.04586,0.04594647,0.04594647
0.04594639,0.04594647,0.04586
0.04594411,0.04594639,0.04594639
0.0459464,0.04594647,0.04586
0.04594519,0.04594639,0.0459464
0.04587,0.04589339,0.04589339
0.04589339,0.04594461,0.04589339
0.04586,0.04589339,0.04589339
0.04589339,0.045946,0.045946
0.04587001,0.04589,0.04589
0.04585289,0.04589,0.04589
0.04585,0.04589,0.04585
0.04584,0.04587001,0.04587001
0.04583,0.04584001,0.04584001
0.04584001,0.04587,0.04584001
0.04584001,0.045869,0.04584001
0.04584001,0.04587,0.04587
0.04584001,0.04587,0.04587
0.04584001,0.04587,0.04587
0.045855,0.04587,0.04587
0.04585,0.04587,0.04587
0.04585,0.04587,0.04587
0.04584001,0.04585,0.04585
0.04583018,0.04584,0.04584
0.04583018,0.04583999,0.04583999
0.04583018,0.04583999,0.04583999
0.04582414,0.04583018,0.04583018
0.04581969,0.04583999,0.04583999
0.04580001,0.04583999,0.04583999
0.04580003,0.04583999,0.04583999
0.04585,0.04589,0.04585
0.04583999,0.04585,0.04585
0.04584,0.04585,0.04585
0.04585,0.04599999,0.04585
0.04585,0.04599999,0.04585
0.04585,0.04599998,0.04585
0.04585,0.04599998,0.04585
0.04585,0.04599998,0.04599998
0.04585,0.04599988,0.04585
0.04585,0.04599988,0.04599988
0.04585,0.04599997,0.04585
0.04585,0.04599987,0.04585
0.04585,0.0459904,0.04585
0.04599,0.0459904,0.04585
0.04585,0.045995,0.04585
0.04583999,0.04585,0.04585
0.04583999,0.046067,0.04611
0.04580004,0.045802,0.045995
0.0458,0.04609993,0.0458
0.0458,0.04607166,0.0459951
0.0458,0.04580009,0.04580009
0.0458,0.04580009,0.0458
0.0458,0.04580009,0.04580009
0.0458,0.04580009,0.04580009
0.04578985,0.0458,0.0458
0.04576262,0.0458,0.0458
0.04571228,0.0458,0.04571228
0.0457,0.04576262,0.0458
0.04565001,0.04569996,0.04565001
0.0457,0.0457354,0.04579999
0.0457354,0.04578,0.04579999
0.0457,0.04578,0.0457999
0.0457,0.04578,0.04578
0.0457001,0.04577997,0.04577997
0.0457001,0.04577997,0.0457001
0.04565,0.04570009,0.04565
0.04573544,0.04577997,0.04577997
0.04577997,0.04578,0.04578
0.04573544,0.04577994,0.04577994
0.0456654,0.04573544,0.04567102
0.0457,0.04572093,0.04572093
0.0457209,0.04572093,0.04572093
0.04572093,0.04577999,0.04577999
0.0457209,0.04578,0.04578
0.04580001,0.04580009,0.0458
0.0457209,0.04578,0.04578
0.0458001,0.04594629,0.04594629
0.04578,0.0458,0.04578
0.0458,0.04594628,0.04594628
0.04578,0.04594627,0.04578
0.0459,0.04594628,0.0459
0.04585,0.04594616,0.04584627
0.04594627,0.046,0.04594627
0.04585001,0.04601197,0.04601197
0.04601197,0.04612761,0.04601197
0.04609088,0.04620982,0.04609088
0.04594628,0.04601197,0.04594628
0.04601197,0.04618271,0.04601197
0.04605649,0.0461,0.04618269
0.0461,0.04619991,0.04619992
0.0460929,0.04619989,0.04611
0.0460929,0.04619989,0.0460929
0.04609293,0.04619088,0.0460929
0.04619088,0.04619988,0.04619088
0.04619089,0.04619988,0.04619089
0.04619088,0.04619988,0.04619088
0.0460929,0.04619088,0.0460929
0.0460929,0.04619089,0.0460929
0.0460929,0.04619088,0.04619088
0.0460929,0.04609642,0.04619085
0.0460929,0.04617999,0.04617999
0.0460929,0.04611758,0.0460929
0.0460929,0.04611758,0.0460929
0.04609291,0.04618,0.04618
0.04609291,0.04617999,0.04609291
0.04609291,0.04617997,0.04617997
0.04609291,0.04617995,0.04617996
0.04609291,0.04617992,0.04617992
0.0460929,0.04609291,0.04609291
0.0460929,0.0461753,0.0460929
0.04606987,0.046164,0.046164
0.04606987,0.04616399,0.04616399
0.04606988,0.04611841,0.04606988
0.046071,0.04611838,0.04611841
0.046071,0.04609995,0.04609996
0.046071,0.0461,0.046071
0.0461,0.04616399,0.0461
0.0461,0.0461753,0.04616399
0.0461,0.04618,0.04617999
0.0461,0.04616399,0.0461
0.04611,0.04616399,0.04616399
0.04610002,0.04617999,0.04617999
0.04607201,0.04609998,0.04607201
0.04609998,0.0461,0.04609998
0.046071,0.04607201,0.046071
0.04607101,0.0460722,0.046071
0.046071,0.0461,0.046071
0.046071,0.0460722,0.046071
0.0461,0.04610019,0.046164
0.0461,0.04615999,0.0461
0.0461,0.04616,0.04615999
0.0461,0.04615997,0.046164
0.046071,0.04615998,0.046071
0.046071,0.0461,0.0461
0.046071,0.04609,0.046071
0.0460722,0.0461,0.0460722
0.046071,0.0461,0.0461
0.046071,0.0461,0.046071
0.046071,0.0461,0.0461
0.046071,0.04609839,0.046071
0.046071,0.04609839,0.046071
0.0460818,0.04609839,0.046071
0.0460818,0.04609839,0.0460818
0.0460818,0.04609839,0.04609839
0.046071,0.04609838,0.046071
0.0460818,0.04609838,0.04609838
0.0460818,0.0460983,0.0460818
0.0460818,0.0460983,0.0460983
0.046071,0.0460983,0.04609839
0.046071,0.0460982,0.046071
0.046071,0.0460982,0.046071
0.04607,0.046071,0.046071
0.046064,0.046071,0.046064
0.046064,0.04607,0.046064
0.04605649,0.046064,0.046064
0.04605649,0.04607,0.04605649
0.04605649,0.046064,0.046064
0.04605649,0.046071,0.046071
0.04605649,0.04607099,0.04607099
0.04605649,0.04607099,0.04607099
0.046071,0.0461,0.0461
0.04605649,0.04616,0.04605649
0.04604315,0.04605,0.04605
0.0460502,0.04616,0.04616
0.04615,0.04616,0.04616
